SMM4H2022ykI8vN7jZYnV57AM	ADE	119	125	nerves	10033371
SMM4H2022ykI8vN7jZYnV57AM	ADE	126	139	muscle spasms	10028334
SMM4H2022uCZV2SRsCe4vzjFm	ADE	61	68	gaining	10047896
SMM4H2022uCZV2SRsCe4vzjFm	ADE	91	110	gain like 50 pounds	10019136
SMM4H20229Aha6m4XERqYdFWf	ADE	118	134	frontal headache	10019211
SMM4H2022UAvDTQWOIacvBkzp	ADE	76	80	sick	10016365
SMM4H2022UAvDTQWOIacvBkzp	ADE	107	115	migraine	10019136
SMM4H2022UAvDTQWOIacvBkzp	ADE	117	121	puke	10047700
SMM4H2022UAvDTQWOIacvBkzp	ADE	123	129	shakes	10040528
SMM4H2022qNHntuJnkevkahGr	ADE	36	41	sleep	10033371
SMM4H2022qNHntuJnkevkahGr	ADE	52	77	stomach is a cement mixer	10042113
SMM4H2022yfpTy24FLthRUaay	ADE	10	20	coming off	10013754
SMM4H2022yfpTy24FLthRUaay	ADE	53	61	hangover	10019136
SMM4H2022yfpTy24FLthRUaay	ADE	73	85	flu symptoms	10016791
SMM4H2022lRmiVKCnPwZBP37M	ADE	60	63	nap	10011865
SMM4H2022mQX8Uwh2MeAyx0vv	ADE	34	44	withdrawal	10073281
SMM4H2022UIXArsYjQ9fMwI4H	ADE	9	14	shaky	10040528
SMM4H2022WYlG44rGLAMzXI7I	ADE	89	99	heart rate	10019304
SMM4H2022WjGLwsETJIENmrJJ	ADE	88	96	sleepies	10041014
SMM4H2022xUuEe5qp3vZY144W	ADE	26	31	crazy	10037234
SMM4H20228cuioIXvYfiRZ4jv	ADE	13	17	hurt	10033371
SMM4H2022FdTorKia743f8oX2	ADE	53	61	feel hot	10065015
SMM4H2022FdTorKia743f8oX2	ADE	99	107	sweating	10042661
SMM4H2022Wh5BgCEutjAsILyO	ADE	51	59	dyslexic	10019136
SMM4H2022vx0oZQy12tkjRIPz	ADE	35	55	cannot be in the sun	10042494
SMM4H2022TIrTKWWfCAO02Uli	ADE	19	29	cant sleep	10011001
SMM4H2022FdTorKia743f8oX2	ADE	52	69	feel hot	10065015
SMM4H2022FdTorKia743f8oX2	ADE	9	17	sweating	10042661
SMM4H2022Wh5BgCEutjAsILyO	ADE	51	69	dyslexic	10042661
SMM4H2022vx0oZQy12tkjRIPz	ADE	5	15	cannot be in the sun	10042494
SMM4H2022TIrTKWWfCAO02Uli	ADE	2	9	cant sleep	10011001
SMM4H2022TIrTKWWfCAO02Uli	ADE	60	67	craving	10056484
SMM4H2022Dd6AFmou1yEhnoRH	ADE	29	54	barely able to stay awake	10041014
SMM4H20220mSmvlK5h4hXJNh9	ADE	113	122	head pain	10019198
SMM4H20220mSmvlK5h4hXJNh9	ADE	137	147	withdrawal	10019136
SMM4H2022DNWR10SKNZOERYWL	ADE	0	28	Horrendous venlafaxine dream	10004063
SMM4H2022GEEGMyvixhP65MzB	ADE	86	93	anxiety	10002855
SMM4H2022GEEGMyvixhP65MzB	ADE	111	121	irrational	10022989
SMM4H2022cjwbGQbnkpVjjJzR	ADE	27	39	cotton mouth	10013781
SMM4H2022lX1A8RVuySkDzAB2	ADE	84	104	couldn't fall asleep	10044698
SMM4H2022qZC2BPG2BW7UC175	ADE	45	48	OCD	10029898
SMM4H20226b5WyZPTAJ7qL3dE	ADE	63	71	addicted	10033371
SMM4H20220LbDv7WiGBW7nQR4	ADE	13	26	gained 30 lbs	10047896
SMM4H2022VEo7kV64jEzl16ni	ADE	13	26	dummy fp	10047896
SMM4H2022iSpT9luRvgpTvG4j	ADE	53	61	dummy fp	10019136
SMM4H20222LwFa3QiIYJCyPYI	ADE	73	85	dummy fp	10016791

